rhino_id,inst_id,species,sex,age,birth_type,housing,train,train_period,train_week,train_time,trainers_beh,beh_number_daily,managed_w_others,social_incomp,PC1,PC2,PC3,PC4,active,calm,investigative,sleep,stereotypies,assertive,chemosensory,con_af,con_ag,con_ff,food_ag,no_obj,pre_obj,social,vocal,fam_af,fam_ag,fam_ff,responsive,stranger_af,stranger_ag,stranger_ff
19030310,Inst-55,White,Female,10,Wild,Social,No,,NA,,,,Yes,No,-5.440045778,1.099939385,1.625925317,-1.667552545,7,4,5.7,3.5,0.4,9,3.1,5,8.5,0.5,9,3.5,0.5,5,7,4.5,4.5,0.5,8,4,4,2.8
14662348,Inst-40,Black,Male,15,Captive,Individual,Yes,3-5 yrs,5,15-Jan,2-Jan,10-May,No,,-3.572963449,2.469099485,-0.968135242,-2.571142474,8,4,6,5.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,1.1,7,2,6.1,0.1
24428385,Inst-62,White,Female,43,Captive,Social,Yes,>5 yrs,1,15-Jan,2-Jan,10-May,Yes,No,1.9308755,-1.728095258,-0.339679293,0.182695072,4,6,6,7,0,4,0,5,2,1,3.5,0,0,5,2,9.5,0,0,9,9,0,0
24403812,Inst-19,White,Female,23,Captive,Social,Yes,1-3 yrs,2.5,15-Jan,4-Mar,<5,Yes,No,1.462186192,-2.217216189,0.19928624,-0.439534343,4,8,6,7,0.5,4.5,0.75,8,4,3,3.5,0,NA,8,3.5,9.5,0.25,0.25,6.5,9.5,0,0
27596603,Inst-18,White,Male,2,Captive,Social,Yes,1-3 yrs,3,15-Jan,2-Jan,<5,Yes,No,0.66243916,0.786224454,0.328309177,0.290936038,6.6,5.3,8.1,5,1,4,3,7.2,2,1,0.9,1,1,9.5,7.5,8.9,0.7,0.1,8.7,8.7,0.5,1
22201325,Inst-47,White,Female,6,Captive,Social,Yes,1-3 yrs,2,15-Jan,2-Jan,<5,Yes,No,1.153727545,0.29727796,0.584456871,-0.802961741,6.75,8,7.5,4.75,0.5,3,2.25,7.5,1.5,1,3,2,3,8,2.45,8.75,0.4,0.1,7.85,8.5,0.1,0.1
24688568,Inst-25,Black,Male,3,Captive,Individual,Yes,1-3 yrs,1,15-Jan,2-Jan,<5,No,,0.460431119,0.167647492,-1.016464438,0.950313792,6.5,4.1,8.2,4.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,0.8,0.5,9,7,2,3.3
14662534,Inst-19,White,Male,19,Captive,Individual,Yes,<6 mo,3,15-Jan,2-Jan,<5,No,,-0.636651513,0.744380357,-0.684250199,-1.881347303,7.25,6,6.5,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.75,0.5,0.25,3.75,8.25,0.25,2
14662255,Inst-16,Black,Male,29,Captive,Individual,Yes,3-5 yrs,3,15-Jan,4-Mar,10-May,No,,2.280393609,-2.007540858,-0.168289938,-1.350929179,4.1,8.2,7,6.95,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,0.35,0.15,9.7,8.6,0.35,0.6
19990820,Inst-24,Black,Male,11,Captive,Individual,Yes,3-5 yrs,1,15-Jan,2-Jan,<5,No,Yes,2.929543932,0.771863274,-0.18951247,0.379044724,7.5,9,8.1,4.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.6,0.1,9,9,0,0.05
24404031,Inst-59,White,Male,31.5,Captive,Social,Yes,6-12 mo,1.5,15-Jan,2-Jan,<5,Yes,Yes,-2.3232173,1.314179313,3.063900834,-0.272841271,6,5.6,8.8,2.95,2.45,8.7,8.9,5.7,7.1,0.9,0,0,0,5.8,5.7,6.6,5.55,0.15,8.6,7.55,0.65,0.9
24428382,Inst-53,White,Female,13,Captive,Social,Yes,>5 yrs,1,15-Jan,2-Jan,10-May,Yes,No,-4.110016549,-0.47526016,3.96748724,3.299259128,6,7,8,7,6,8.2,3,8.1,6.7,2,8.5,8.4,8.5,8,8.9,8,3,0.9,7.4,6.5,4.6,1.8
17244386,Inst-19,Black,Female,26,Captive,Social,Yes,>5 yrs,4.5,15-Jan,2-Jan,10-May,Yes,No,1.14563465,0.353092236,0.513287874,0.904422476,7.25,7.5,7,4.25,0.25,7.5,1.5,2,4.75,1.5,0.75,0,NA,2.5,3.25,8.75,0.25,0.25,8,6.75,0.75,1
19317336,Inst-12,Black,Male,21,Captive,Individual,Yes,6-12 mo,2.5,15-Jan,2-Jan,10-May,No,,-3.478778109,2.067926303,-0.569365787,-1.239643726,7,2.5,6.5,4.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3.75,1,6.5,4,3.5,4
23577495,Inst-57,White,Female,43,Captive,Social,Yes,3-5 yrs,4,15-Jan,4-Mar,10-May,Yes,No,1.272313038,-1.459541214,0.445835684,-0.414493323,5,7,8,7.5,0,10,3,0.5,7,0,9,2.5,3.5,2,5.2,10,1,0,7,7,0,0
24212772,Inst-54,White,Male,16,Wild,Social,Yes,6-12 mo,3,15-Jan,4-Mar,<5,Yes,No,1.192340035,-0.362474402,-0.231171761,-0.970365265,6.4,9,5.5,5,0,4,10,8,2.7,5.25,1,0,0,5,2,9,0,0,8,8,0,1
19298643,Inst-28,White,Female,38,Captive,Individual,No,,1,,,,No,,0.283637437,-2.484091837,0.56251924,1.723209202,3.75,9.75,4,6.25,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,0,0.25,8.2,6.75,0,0.75
14662654,Inst-22,White,Male,34,Captive,Social,Yes,3-5 yrs,2,31-45,4-Mar,10-May,Yes,No,2.152164398,-1.41231017,0.517896467,0.651044085,5,8.4,7.2,7.5,0.5,1.7,9,7.5,0.5,6,0.5,0.3,0.3,7,6.5,9.6,0,0,9,9.5,0,0.5
22187249,Inst-1,White,Female,27,Wild,Social,Yes,,3,15-Jan,4-Mar,10-May,Yes,Yes,-0.08924259,0.11723404,0.334748169,0.187846328,6,7,7,5,0.5,7,1.8,8,5,1.2,4,2,3,9.8,9,8.6,0.8,0.8,9,7.5,1,1
22201313,Inst-47,White,Male,32,Captive,Social,Yes,<6 mo,2,15-Jan,2-Jan,10-May,Yes,No,-3.106530655,-0.50011336,1.53954632,-1.279523568,6,6,4.75,5.25,0.5,2.5,8.1,6.15,0.75,4,1.25,0,0,4.25,2.5,8.3,3,0,6.95,4,4.25,1
19030337,Inst-17,White,Male,22,Captive,Social,Yes,1-3 yrs,3,15-Jan,2-Jan,>15,Yes,No,1.560075724,-0.669445936,1.689420006,1.288691143,4,9.25,8.75,5.5,2,3,6.5,6.5,1.5,6,2,1.75,1.5,6.75,0.5,9.75,0.35,0.1,9.25,9,0.6,0.6
14662507,Inst-10,White,Male,28,Wild,Social,No,,2,,,,Yes,No,2.448393034,1.13428631,0.642246296,-0.656154339,7,8.5,8.6,4,0,1,10,9,1,5.25,0.5,1,0,6.5,4,10,0,0,8.5,10,0,0
21370591,Inst-26,White,Female,25,Captive,Social,Yes,>5 yrs,7,15-Jan,2-Jan,<5,Yes,No,-5.248160185,0.563647436,0.631263039,0.720894534,8,7,6,5,1.5,8,6,9,6,2,2,2,2,5.5,3,7,3,3,7,4,3,3
14662477,Inst-20,White,Male,26,Captive,Social,Yes,1-3 yrs,1,15-Jan,2-Jan,<5,Yes,No,2.028306416,1.857735078,0.954600196,-0.319857533,8.5,9.5,8,3.5,0.5,1,9.25,9.5,0,0,0.5,0,0,8,2.5,10,0.05,0,9.5,9,0.5,0.05
24428157,Inst-41,Black,Female,21,Captive,Social,Yes,1-3 yrs,2,15-Jan,2-Jan,10-May,Yes,No,-0.104591078,-1.743776697,-1.827844787,-0.972720735,4.3,6.5,6.8,6.5,2,3.7,4.7,5.1,2.8,0.95,0.9,0,0,7.1,0.25,9.2,0.9,0.1,8.8,5.1,5,1.9
24428361,Inst-53,White,Male,16,Captive,Social,Yes,>5 yrs,1,15-Jan,2-Jan,<5,Yes,Yes,-1.881071416,0.900941817,-2.096732537,2.686063786,6,2.2,4.1,4.2,2.5,1,9.15,7.35,0.45,5.8,1.5,1.35,1.2,7.55,6.8,10,1,1,10,6.4,1,4.7
