rhino_id,species,inst_id,age,sex,housing,birth_type,temperature,precipitation,cloud_cover,size,access,calf_present,previous_presence,diversity,richness,gatewait_NO,stimulated_NO,unstimulated_NO,active_NO,inactive_NO,pace_NO,latency_sec,other_NO,notvisible_NO,retreat_NO,snort_NO,snarl_NO,pant_NO,whine_NO,attack_NO,charge_NO,void_NO,marking_NO,olfact_other_NO,olfact_obj_NO,advance_direct_NO,head_fling_NO,contact_inx_NO,near_NO,distant_NO,SessionDuration_sec,SessionDuration_allsec,SessionDurationMin,prop.gatewait,prop.stimulated,prop.unstimulated,prop.active,prop.inactive,prop.latency,prop.pace,prop.other,distance_int,prop.near,freq.retreat,freq.snort,freq.snarl,freq.whine,freq.pant,freq.attack,freq.charge,freq.void,freq.marking,freq.olfact_obj,freq.olfact_other,freq.advance_direct,freq.head_fling,freq.contact_inx,freq.other,censoring,log_duration,log_durationsec,log_distance
14662651,White,Inst-1,36,Male,Individual,Captive,1.111111111,None,Sunny,M,Indoor,No,yes,1.741662911,7,0,0,1187,377,726,0,10,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,7,11,7,1187,1187,19.78333333,0,0,1,0.317607414,0.611625948,0.0084246,0,0,18,0.611111111,0,0,0,0,0,0,0,0,0,0.303285594,0.151642797,0.151642797,0,0.353833193,0,1,2.984839832,7.079184395,2.890371758
19947173,White,Inst-26,55,Male,Individual,Wild,23.33333333,None,Sunny,L,Outdoor,No,yes,0.959783881,4,0,0,1177,69,1108,0,151,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,17,1177,1177,19.61666667,0,0,1,0.058623619,0.941376381,0.128292268,0,0,20,0.15,0,0,0,0,0,0,0,0,0,0,0.101954121,0,0,0,0,1,2.976379545,7.070724107,2.995732274
21286957,White,Inst-10,7,Female,Social,Wild,20.55555556,None,Overcast,S,Outdoor,No,yes,1.772660531,9,0,24,1170,501,693,0,38,0,0,0,0,0,2,0,0,0,0,0,2,3,5,0,2,6,14,1194,1194,19.9,0,0.020100503,0.979899497,0.41959799,0.58040201,0.031825796,0,0,20,0.3,0,0,0,0,0.100502513,0,0,0,0,0.150753769,0.100502513,0.251256281,0,0.100502513,0,1,2.990719732,7.085064294,2.995732274
19990838,White,Inst-26,10,Male,Social,Captive,22.77777778,None,Partly cloudy,L,Outdoor,No,yes,1.50801364,9,0,70,1100,218,952,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,1,0,20,1170,1170,19.5,0,0.05982906,0.94017094,0.186324786,0.813675214,0.000854701,0,0,20,0,0,0,0,0,0.051282051,0,0,0,0,0.051282051,0.102564103,0.051282051,0,0.051282051,0,1,2.970414466,7.064759028,2.995732274
20563574,White,Inst-3,10,Male,Social,Captive,8.333333333,None,Overcast,S,Indoor,No,yes,1.19434883,5,0,0,1178,153,765,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,5,15,1178,1178,19.63333333,0,0,1,0.129881154,0.649405772,0.001697793,0,0,20,0.25,0,0,0,0,0,0,0,0.101867572,0,0.101867572,0,0,0,0.101867572,0,1,2.977228802,7.071573364,2.995732274
19030319,Black,Inst-40,15,Female,Individual,Captive,23.33333333,None,Overcast,L,Outdoor,No,yes,1.643469352,7,0,838,313,153,998,0,526,0,10,0,0,0,0,0,0,0,0,0,0,6,2,0,2,6,14,1151,1151,19.18333333,0,0.728062554,0.271937446,0.132927889,0.867072111,0.456993918,0,0,20,0.3,0,0,0,0,0,0,0,0,0,0.312771503,0,0.104257168,0,0.104257168,0,1,2.954041846,7.048386409,2.995732274
19990832,White,Inst-18,27,Male,Social,Captive,23.33333333,None,Overcast,M,Outdoor,No,yes,1.586531908,9,0,42,1149,357,663,0,4,0,0,0,0,0,1,0,0,0,1,3,2,2,1,0,1,2,18,1191,1191,19.85,0,0.035264484,0.964735516,0.299748111,0.556675063,0.003358522,0,0,20,0.1,0,0,0,0,0.050377834,0,0,0.050377834,0.151133501,0.100755668,0.100755668,0.050377834,0,0.050377834,0,1,2.988204007,7.082548569,2.995732274
19548899,White,Inst-45,19,Female,Social,Wild,10.55555556,None,Sunny,M,Outdoor,No,yes,1.776061196,8,97,407,788,137,466,0,6,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,20,1195,1195,19.91666667,0.081171548,0.340585774,0.659414226,0.114644351,0.389958159,0.005020921,0,0,20,0,0,0,0,0,0,0,0,0,0,0.10041841,0.10041841,0,0,0.10041841,0,1,2.991556902,7.085901464,2.995732274
22187234,White,Inst-1,28,Female,Social,Wild,-1.666666667,None,Sunny,S,Indoor,No,yes,1.817261773,8,0,459,724,153,1030,0,9,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,6,14,6,1183,1183,19.71666667,0,0.387996619,0.612003381,0.129332206,0.870667794,0.007607777,0,0,20,0.7,0,0,0,0,0,0,0,0,0,0.202874049,0.202874049,0.050718512,0,0.304311074,0,1,2.981464302,7.075808864,2.995732274
14662570,White,Inst-52,12,Female,Social,Captive,16.11111111,None,Sunny,L,Outdoor,No,yes,1.999479517,10,432,1168,0,465,271,0,425,10,0,0,0,0,14,0,0,0,0,0,16,4,3,0,4,5,15,1178,1178,19.63333333,0.36672326,0.991511036,0,0.394736842,0.230050934,0.360780985,0,0.008488964,20,0.25,0,0,0,0,0.713073005,0,0,0,0,0.203735144,0.814940577,0.152801358,0,0.203735144,0.509337861,1,2.977228802,7.071573364,2.995732274
